image_path,label,label_idx,bbox,img_w,img_h
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_958_drowsy.jpg,slowBlinkWithNodding,3,"[191, 143, 415, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_1475_drowsy.jpg,slowBlinkWithNodding,3,"[191, 193, 414, 414]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_860_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_1849_drowsy.jpg,slowBlinkWithNodding,3,"[111, 170, 379, 439]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_1888_drowsy.jpg,slowBlinkWithNodding,3,"[143, 217, 364, 441]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_852_drowsy.jpg,slowBlinkWithNodding,3,"[242, 138, 429, 325]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1643_drowsy.jpg,slowBlinkWithNodding,3,"[242, 138, 429, 325]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_1620_drowsy.jpg,slowBlinkWithNodding,3,"[216, 118, 439, 341]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_1661_drowsy.jpg,slowBlinkWithNodding,3,"[241, 119, 464, 340]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_1024_drowsy.jpg,slowBlinkWithNodding,3,"[142, 192, 365, 415]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_545_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_1153_drowsy.jpg,slowBlinkWithNodding,3,"[220, 242, 407, 429]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1370_drowsy.jpg,slowBlinkWithNodding,3,"[242, 138, 428, 325]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_1915_drowsy.jpg,slowBlinkWithNodding,3,"[143, 216, 364, 441]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_1856_drowsy.jpg,slowBlinkWithNodding,3,"[242, 200, 428, 387]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_1696_drowsy.jpg,slowBlinkWithNodding,3,"[216, 142, 439, 365]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_918_drowsy.jpg,slowBlinkWithNodding,3,"[242, 138, 429, 325]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_767_drowsy.jpg,slowBlinkWithNodding,3,"[143, 166, 364, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_1821_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 390]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_1294_drowsy.jpg,slowBlinkWithNodding,3,"[171, 113, 439, 378]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_379_drowsy.jpg,slowBlinkWithNodding,3,"[270, 180, 407, 367]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1306_drowsy.jpg,slowBlinkWithNodding,3,"[242, 160, 429, 345]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_1105_drowsy.jpg,slowBlinkWithNodding,3,"[142, 192, 365, 415]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_559_drowsy.jpg,slowBlinkWithNodding,3,"[221, 138, 407, 325]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_1212_drowsy.jpg,slowBlinkWithNodding,3,"[216, 142, 439, 365]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_588_drowsy.jpg,slowBlinkWithNodding,3,"[143, 166, 364, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_499_drowsy.jpg,slowBlinkWithNodding,3,"[0, 0, 639, 479]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_1823_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_1788_drowsy.jpg,slowBlinkWithNodding,3,"[171, 113, 439, 378]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_1311_drowsy.jpg,slowBlinkWithNodding,3,"[216, 142, 439, 365]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1276_drowsy.jpg,slowBlinkWithNodding,3,"[242, 160, 429, 345]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1378_drowsy.jpg,slowBlinkWithNodding,3,"[242, 138, 428, 325]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_1229_drowsy.jpg,slowBlinkWithNodding,3,"[216, 118, 439, 341]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_546_drowsy.jpg,slowBlinkWithNodding,3,"[191, 143, 415, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_1253_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 390]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_521_drowsy.jpg,slowBlinkWithNodding,3,"[242, 166, 376, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_849_drowsy.jpg,slowBlinkWithNodding,3,"[143, 166, 364, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_1120_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_340_drowsy.jpg,slowBlinkWithNodding,3,"[216, 242, 439, 465]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_1899_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/006_glasses_slowBlinkWithNodding_407_drowsy.jpg,slowBlinkWithNodding,3,"[167, 143, 390, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_455_drowsy.jpg,slowBlinkWithNodding,3,"[221, 222, 407, 407]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_372_drowsy.jpg,slowBlinkWithNodding,3,"[273, 180, 407, 367]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_969_drowsy.jpg,slowBlinkWithNodding,3,"[242, 138, 429, 325]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1176_drowsy.jpg,slowBlinkWithNodding,3,"[242, 160, 429, 345]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_895_drowsy.jpg,slowBlinkWithNodding,3,"[143, 166, 364, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_711_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 390]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_1158_drowsy.jpg,slowBlinkWithNodding,3,"[171, 113, 439, 378]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_1395_drowsy.jpg,slowBlinkWithNodding,3,"[143, 166, 364, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_1352_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_502_drowsy.jpg,slowBlinkWithNodding,3,"[267, 255, 375, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_1513_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_579_drowsy.jpg,slowBlinkWithNodding,3,"[264, 250, 374, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_1251_drowsy.jpg,slowBlinkWithNodding,3,"[216, 142, 439, 365]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_1443_drowsy.jpg,slowBlinkWithNodding,3,"[241, 143, 465, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1654_drowsy.jpg,slowBlinkWithNodding,3,"[242, 138, 429, 325]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_229_drowsy.jpg,slowBlinkWithNodding,3,"[217, 167, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_483_drowsy.jpg,slowBlinkWithNodding,3,"[143, 166, 364, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_728_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 390]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_1823_drowsy.jpg,slowBlinkWithNodding,3,"[217, 216, 438, 441]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_777_drowsy.jpg,slowBlinkWithNodding,3,"[111, 112, 379, 379]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_1462_drowsy.jpg,slowBlinkWithNodding,3,"[241, 143, 465, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_1730_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_737_drowsy.jpg,slowBlinkWithNodding,3,"[268, 180, 407, 367]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_2013_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 390]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_700_drowsy.jpg,slowBlinkWithNodding,3,"[241, 143, 465, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1843_drowsy.jpg,slowBlinkWithNodding,3,"[216, 142, 439, 365]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_1154_drowsy.jpg,slowBlinkWithNodding,3,"[220, 242, 407, 429]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_751_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 390]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_464_drowsy.jpg,slowBlinkWithNodding,3,"[216, 192, 439, 415]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_511_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_1280_drowsy.jpg,slowBlinkWithNodding,3,"[241, 143, 465, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_1707_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_466_drowsy.jpg,slowBlinkWithNodding,3,"[191, 143, 415, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_876_drowsy.jpg,slowBlinkWithNodding,3,"[171, 255, 439, 438]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_495_drowsy.jpg,slowBlinkWithNodding,3,"[0, 0, 639, 479]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_561_drowsy.jpg,slowBlinkWithNodding,3,"[191, 143, 415, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_1286_drowsy.jpg,slowBlinkWithNodding,3,"[143, 166, 364, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_772_drowsy.jpg,slowBlinkWithNodding,3,"[242, 138, 429, 325]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_1196_drowsy.jpg,slowBlinkWithNodding,3,"[111, 112, 379, 379]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_1223_drowsy.jpg,slowBlinkWithNodding,3,"[111, 112, 379, 379]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_1590_drowsy.jpg,slowBlinkWithNodding,3,"[216, 192, 439, 415]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1349_drowsy.jpg,slowBlinkWithNodding,3,"[242, 138, 429, 325]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_280_drowsy.jpg,slowBlinkWithNodding,3,"[266, 180, 407, 367]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_1575_drowsy.jpg,slowBlinkWithNodding,3,"[217, 216, 438, 441]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_1491_drowsy.jpg,slowBlinkWithNodding,3,"[262, 160, 448, 345]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_1025_drowsy.jpg,slowBlinkWithNodding,3,"[142, 192, 365, 415]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_2219_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_1296_drowsy.jpg,slowBlinkWithNodding,3,"[241, 143, 465, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1725_drowsy.jpg,slowBlinkWithNodding,3,"[242, 138, 428, 325]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_1928_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1577_drowsy.jpg,slowBlinkWithNodding,3,"[216, 142, 439, 365]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_2182_drowsy.jpg,slowBlinkWithNodding,3,"[242, 200, 428, 387]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_1772_drowsy.jpg,slowBlinkWithNodding,3,"[241, 119, 465, 340]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_1070_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 390]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_992_drowsy.jpg,slowBlinkWithNodding,3,"[216, 192, 439, 415]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_796_drowsy.jpg,slowBlinkWithNodding,3,"[241, 143, 465, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1757_drowsy.jpg,slowBlinkWithNodding,3,"[242, 138, 428, 325]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_731_drowsy.jpg,slowBlinkWithNodding,3,"[241, 143, 465, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_1045_drowsy.jpg,slowBlinkWithNodding,3,"[0, 0, 639, 479]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1956_drowsy.jpg,slowBlinkWithNodding,3,"[242, 138, 428, 325]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_1107_drowsy.jpg,slowBlinkWithNodding,3,"[241, 143, 465, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_1374_drowsy.jpg,slowBlinkWithNodding,3,"[235, 166, 375, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_626_drowsy.jpg,slowBlinkWithNodding,3,"[267, 180, 407, 367]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_825_drowsy.jpg,slowBlinkWithNodding,3,"[269, 180, 407, 367]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1613_drowsy.jpg,slowBlinkWithNodding,3,"[216, 142, 439, 365]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_933_drowsy.jpg,slowBlinkWithNodding,3,"[216, 142, 439, 365]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_1633_drowsy.jpg,slowBlinkWithNodding,3,"[216, 192, 439, 415]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_1163_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_1154_drowsy.jpg,slowBlinkWithNodding,3,"[191, 143, 415, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_406_drowsy.jpg,slowBlinkWithNodding,3,"[191, 143, 415, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_1929_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 390]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_947_drowsy.jpg,slowBlinkWithNodding,3,"[252, 166, 465, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1848_drowsy.jpg,slowBlinkWithNodding,3,"[216, 142, 439, 365]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_2092_drowsy.jpg,slowBlinkWithNodding,3,"[269, 180, 407, 367]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_409_drowsy.jpg,slowBlinkWithNodding,3,"[191, 143, 415, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_1820_drowsy.jpg,slowBlinkWithNodding,3,"[191, 119, 415, 340]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_1867_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_1910_drowsy.jpg,slowBlinkWithNodding,3,"[0, 0, 639, 479]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_631_drowsy.jpg,slowBlinkWithNodding,3,"[252, 180, 407, 367]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1095_drowsy.jpg,slowBlinkWithNodding,3,"[221, 160, 407, 345]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_1115_drowsy.jpg,slowBlinkWithNodding,3,"[191, 143, 415, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_1117_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1333_drowsy.jpg,slowBlinkWithNodding,3,"[242, 138, 429, 325]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_1264_drowsy.jpg,slowBlinkWithNodding,3,"[216, 142, 439, 365]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_1559_drowsy.jpg,slowBlinkWithNodding,3,"[0, 0, 639, 479]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_1235_drowsy.jpg,slowBlinkWithNodding,3,"[111, 112, 379, 379]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_249_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_1150_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_glasses_slowBlinkWithNodding_1976_drowsy.jpg,slowBlinkWithNodding,3,"[242, 138, 428, 325]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_1490_drowsy.jpg,slowBlinkWithNodding,3,"[241, 143, 465, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_1854_drowsy.jpg,slowBlinkWithNodding,3,"[111, 170, 379, 439]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_1930_drowsy.jpg,slowBlinkWithNodding,3,"[242, 200, 428, 387]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_889_drowsy.jpg,slowBlinkWithNodding,3,"[216, 192, 439, 415]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_glasses_slowBlinkWithNodding_537_drowsy.jpg,slowBlinkWithNodding,3,"[217, 166, 438, 390]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_711_drowsy.jpg,slowBlinkWithNodding,3,"[191, 143, 415, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_noglasses_slowBlinkWithNodding_1151_drowsy.jpg,slowBlinkWithNodding,3,"[191, 143, 415, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/001_glasses_slowBlinkWithNodding_908_drowsy.jpg,slowBlinkWithNodding,3,"[143, 166, 364, 391]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_1254_drowsy.jpg,slowBlinkWithNodding,3,"[240, 143, 465, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/002_noglasses_slowBlinkWithNodding_1190_drowsy.jpg,slowBlinkWithNodding,3,"[241, 143, 465, 364]",640,480
./Multi class/train/drowsy/slowBlinkWithNodding/005_noglasses_slowBlinkWithNodding_838_drowsy.jpg,slowBlinkWithNodding,3,"[261, 180, 407, 367]",640,480
